Data,Campanha,Impressoes,Cliques,Gasto,Leads
2024-12-01,Campanha Educação,10000,500,250.00,25
2024-12-02,Campanha Educação,12000,600,300.00,30
2024-12-03,Campanha Educação,11000,550,275.00,28
2024-12-04,Campanha Educação,13000,650,325.00,32
2024-12-05,Campanha Educação,14000,700,350.00,35
2024-12-06,Campanha Educação,15000,750,375.00,38
2024-12-07,Campanha Educação,16000,800,400.00,40
2024-12-08,Campanha Educação,17000,850,425.00,42
2024-12-09,Campanha Educação,18000,900,450.00,45
2024-12-10,Campanha Educação,19000,950,475.00,48
